01. Ano,02. Nome País (Europa),03. Filtro 1,04. Filtro 2,05. Filtro 3,06. Escala,07. Símbolo,08. Valor
1996,Suécia,Bebidas alcoólicas e tabaco,,,,,60.33
1996,Suécia,Bens e serviços diversos,,,,,69.11
1996,Suécia,Comunicações,,,,,153.38
1996,Suécia,Educação,,,,,79.10
1996,Suécia,"Habitação, água, electricidade, gás e outros combustíveis",,,,,63.92
1996,Suécia,"Lazer, recreação e cultura",,,,,102.00
1996,Suécia,Produtos alimentares e bebidas não alcoólicas,,,,,72.73
1996,Suécia,Restaurantes e hotéis,,,,,63.30
1996,Suécia,Saúde,,,,,66.64
1996,Suécia,Total,,,,,76.16
1996,Suécia,Transportes,,,,,71.46
1996,Suécia,Vestuário e calçado,,,,,86.80
1997,Alemanha,"Acessórios para o lar, equipamento doméstico e manutenção corrente da habitação",,,,,90.00
1997,Alemanha,Bebidas alcoólicas e tabaco,,,,,57.90
1997,Alemanha,Bens e serviços diversos,,,,,77.30
1997,Alemanha,Comunicações,,,,,157.10
1997,Alemanha,Educação,,,,,65.30
1997,Alemanha,"Habitação, água, electricidade, gás e outros combustíveis",,,,,68.80
1997,Alemanha,"Lazer, recreação e cultura",,,,,87.70
1997,Alemanha,Produtos alimentares e bebidas não alcoólicas,,,,,77.10
1997,Alemanha,Restaurantes e hotéis,,,,,70.30
1997,Alemanha,Saúde,,,,,70.70
1997,Alemanha,Total,,,,,76.90
1997,Alemanha,Transportes,,,,,70.40
1997,Alemanha,Vestuário e calçado,,,,,92.50
1997,Áustria,"Acessórios para o lar, equipamento doméstico e manutenção corrente da habitação",,,,,80.44
1997,Áustria,Bebidas alcoólicas e tabaco,,,,,61.46
1997,Áustria,Bens e serviços diversos,,,,,66.50
1997,Áustria,Comunicações,,,,,124.91
1997,Áustria,Educação,,,,,55.64
1997,Áustria,"Habitação, água, electricidade, gás e outros combustíveis",,,,,61.12
1997,Áustria,"Lazer, recreação e cultura",,,,,88.16
1997,Áustria,Produtos alimentares e bebidas não alcoólicas,,,,,68.87
1997,Áustria,Restaurantes e hotéis,,,,,64.29
1997,Áustria,Saúde,,,,,65.90
1997,Áustria,Total,,,,,72.61
1997,Áustria,Transportes,,,,,74.75
1997,Áustria,Vestuário e calçado,,,,,92.66
1997,Bélgica,"Acessórios para o lar, equipamento doméstico e manutenção corrente da habitação",,,,,76.80
1997,Bélgica,Bebidas alcoólicas e tabaco,,,,,59.99
1997,Bélgica,Bens e serviços diversos,,,,,65.44
1997,Bélgica,Comunicações,,,,,136.20
1997,Bélgica,Educação,,,,x,
1997,Bélgica,"Habitação, água, electricidade, gás e outros combustíveis",,,,,61.85
1997,Bélgica,"Lazer, recreação e cultura",,,,,86.97
1997,Bélgica,Produtos alimentares e bebidas não alcoólicas,,,,,67.67
1997,Bélgica,Restaurantes e hotéis,,,,,61.65
1997,Bélgica,Saúde,,,,,85.29
1997,Bélgica,Total,,,,,71.54
1997,Bélgica,Transportes,,,,,67.95
1997,Bélgica,Vestuário e calçado,,,,,88.84
1997,Bulgária,"Acessórios para o lar, equipamento doméstico e manutenção corrente da habitação",,,,,80.36
1997,Bulgária,Bebidas alcoólicas e tabaco,,,,,14.45
1997,Bulgária,Bens e serviços diversos,,,,,32.19
1997,Bulgária,Comunicações,,,,,63.90
1997,Bulgária,Educação,,,,,9.55
1997,Bulgária,"Habitação, água, electricidade, gás e outros combustíveis",,,,,22.41
1997,Bulgária,"Lazer, recreação e cultura",,,,,47.25
1997,Bulgária,Produtos alimentares e bebidas não alcoólicas,,,,,49.14
1997,Bulgária,Restaurantes e hotéis,,,,,24.80
1997,Bulgária,Saúde,,,,,22.98
1997,Bulgária,Total,,,,,40.27
1997,Bulgária,Transportes,,,,,38.75
1997,Bulgária,Vestuário e calçado,,,,,72.39
1997,Chéquia,"Acessórios para o lar, equipamento doméstico e manutenção corrente da habitação",,,,,105.40
1997,Chéquia,Bebidas alcoólicas e tabaco,,,,,47.10
1997,Chéquia,Bens e serviços diversos,,,,,58.90
1997,Chéquia,Comunicações,,,,,78.60
1997,Chéquia,Educação,,,,,50.50
1997,Chéquia,"Habitação, água, electricidade, gás e outros combustíveis",,,,,31.00
1997,Chéquia,"Lazer, recreação e cultura",,,,,81.90
1997,Chéquia,Produtos alimentares e bebidas não alcoólicas,,,,,72.80
1997,Chéquia,Restaurantes e hotéis,,,,,56.90
1997,Chéquia,Saúde,,,,,44.80
1997,Chéquia,Total,,,,,63.60
1997,Chéquia,Transportes,,,,,77.50
1997,Chéquia,Vestuário e calçado,,,,,132.80
1997,Chipre,"Acessórios para o lar, equipamento doméstico e manutenção corrente da habitação",,,,,91.62
1997,Chipre,Bebidas alcoólicas e tabaco,,,,,38.27
1997,Chipre,Bens e serviços diversos,,,,,65.76
1997,Chipre,Comunicações,,,,,199.36
1997,Chipre,Educação,,,,,54.61
1997,Chipre,"Habitação, água, electricidade, gás e outros combustíveis",,,,,50.53
1997,Chipre,"Lazer, recreação e cultura",,,,,90.35
1997,Chipre,Produtos alimentares e bebidas não alcoólicas,,,,,56.19
1997,Chipre,Restaurantes e hotéis,,,,,56.22
1997,Chipre,Saúde,,,,,62.23
1997,Chipre,Total,,,,,69.02
1997,Chipre,Transportes,,,,,77.26
1997,Chipre,Vestuário e calçado,,,,,119.88
1997,Croácia,"Acessórios para o lar, equipamento doméstico e manutenção corrente da habitação",,,,x,
1997,Croácia,Bebidas alcoólicas e tabaco,,,,x,
1997,Croácia,Bens e serviços diversos,,,,x,
1997,Croácia,Comunicações,,,,x,
1997,Croácia,Educação,,,,x,
1997,Croácia,"Habitação, água, electricidade, gás e outros combustíveis",,,,x,
1997,Croácia,"Lazer, recreação e cultura",,,,x,
1997,Croácia,Produtos alimentares e bebidas não alcoólicas,,,,x,
1997,Croácia,Restaurantes e hotéis,,,,x,
1997,Croácia,Saúde,,,,x,
1997,Croácia,Total,,,,x,
1997,Croácia,Transportes,,,,x,
1997,Croácia,Vestuário e calçado,,,,x,
1997,Dinamarca,"Acessórios para o lar, equipamento doméstico e manutenção corrente da habitação",,,,,79.90
1997,Dinamarca,Bebidas alcoólicas e tabaco,,,,,70.20
1997,Dinamarca,Bens e serviços diversos,,,,,62.40
1997,Dinamarca,Comunicações,,,,,149.10
1997,Dinamarca,Educação,,,,,44.80
1997,Dinamarca,"Habitação, água, electricidade, gás e outros combustíveis",,,,,60.00
1997,Dinamarca,"Lazer, recreação e cultura",,,,,90.60
1997,Dinamarca,Produtos alimentares e bebidas não alcoólicas,,,,,71.70
1997,Dinamarca,Restaurantes e hotéis,,,,,63.90
1997,Dinamarca,Saúde,,,,,77.40
1997,Dinamarca,Total,,,,,73.00
1997,Dinamarca,Transportes,,,,,71.10
1997,Dinamarca,Vestuário e calçado,,,,,109.30
1997,Eslováquia,"Acessórios para o lar, equipamento doméstico e manutenção corrente da habitação",,,,,91.53
1997,Eslováquia,Bebidas alcoólicas e tabaco,,,,,38.40
1997,Eslováquia,Bens e serviços diversos,,,,,46.49
1997,Eslováquia,Comunicações,,,,,40.77
1997,Eslováquia,Educação,,,,,32.81
1997,Eslováquia,"Habitação, água, electricidade, gás e outros combustíveis",,,,,20.66
1997,Eslováquia,"Lazer, recreação e cultura",,,,,61.17
1997,Eslováquia,Produtos alimentares e bebidas não alcoólicas,,,,,60.66
1997,Eslováquia,Restaurantes e hotéis,,,,,41.79
1997,Eslováquia,Saúde,,,,,35.44
1997,Eslováquia,Total,,,,,46.53
1997,Eslováquia,Transportes,,,,,63.17
1997,Eslováquia,Vestuário e calçado,,,,,72.80
